id	family	order
Catch1_I	Catch	LTR
Chaplin1_FR	Chaplin	DNA
Chaplin1a_FR	Chaplin	DNA
Chaplin2a_FR	Chaplin	DNA
Chaplin3_FR	Chaplin	DNA
Chaplin4_FR	Chaplin	DNA
Chaplin5_FR	Chaplin	DNA
Chaplin5a_FR	Chaplin	DNA
Chaplin6_FR	Chaplin	DNA
Chaplin7a_FR	Chaplin	DNA
Chaplin8_FR	Chaplin	DNA
DIRS1_FR	DIRS	LTR
Dong_FR	Dong	LINE
Expander	Expander	LINE
Expander2	Expander	LINE
FERV-R1_I	FERV	LTR
FERV-R2_I	FERV	LTR
FERV-R2_LTR	FERV	LTR
Furousha1	Furousha	DNA
Furousha2	Furousha	DNA
HP_FR1	HP	DNA
HP_FR2	HP	DNA
Kopi1_I	Kopi	LTR
Kopi2_I	Kopi	LTR
L1-1_FR	L1	LINE
Maui	Maui	LINE
Pigibakku	piggyBac	DNA
Rex1_FurC	Rex	LINE
Ronin1_I	Ronin	LTR
Ronin1_LTR	Ronin	LTR
Ronin2_I	Ronin	LTR
Ronin2_LTR3	Ronin	LTR
Ronin3_I	Ronin	LTR
Samurai_I	Samurai	LTR
Senkusha1	Senkusha	DNA
Senkusha1A	Senkusha	DNA
Senkusha1B	Senkusha	DNA
Senkusha2A	Senkusha	DNA
SINE_FR1a	SINE	SINE
SINE_FR1b	SINE	SINE
SINE_FR1c	SINE	SINE
SINE_FR1d	SINE	SINE
SINE_FR2	SINE	SINE
SINE_TE	SINE	SINE
Sushi_I	Sushi	LTR
TC1_FR1	TC1	TIR
TC1_FR2	TC1	TIR
TC1_FR3	TC1	TIR
TC1_FR4	TC1	TIR
TC1_FR5	TC1	TIR
TC2_FR1	TC2	TIR
TC2_FR2	TC2	TIR
TC2_FR2a	TC2	TIR
TC2_FR3A	TC2	TIR
TC2_FR4	TC2	TIR
TC2_FR4a	TC2	TIR
TC2_FR5	TC2	TIR
Tiggu1A	Tiggu	TIR
Tiggu1B	Tiggu	TIR
Trillian1	Zaphod	DNA
Trillian2	Zaphod	DNA
